0,APP ID,description,class
11,689963037,"FREE! Hotelier India – the definitive guide to hotel management!

Attention, hoteliers! Download the Hotelier India app today and enjoy loads of information on the industry at your fingertips.

Hotelier India is the country’s most respected magazine that covers all aspects of the industry, from business trends and best practices to insightful interviews, case studies and market information.  

The new app features all the informative content Hotelier India readers love, from profiles of successful and path-breaking hoteliers to reviews of the latest hotel openings and insightful features on trends in the design, food and technology sectors of the industry.   

Now you don’t even have to wait for your monthly edition to hit the mailbox as Hotelier India can be delivered straight to your digital newsstand. With your busy travelling schedules, whether you’re in India or abroad, you will never have to miss an issue again.  

Plus you can keep all of your favourite issues in your very own Hotelier India library. Sign up today and join the league of well-informed hoteliers!",0
12,517996575,"Discover the most beautiful places with the Colombia tripwolf guide - your guide with offline map! Get to know Colombia even before your arrival and plan your trip to get the most out of your vacation, guaranteed. Thanks to offline maps, you don’t need an internet connection on the road, but you still have everything you need right there with you.

AT A GLANCE
+ Free preview with the possibility to upgrade
+ Plan your trip with the trip planner and create your own location 
+ Offline maps for all travel guides that can be used at any time 
+ Get to know the highlights of Colombia – thanks to recommendations from FODOR'S TRAVEL 
+ Navigation to your next point on the map 
+ You have more than one device? Starting now, you can sync all of your purchases and trips (!), even between different platforms.


Together with TripAdvisor, an unbeatable team. Hard-copy travel guides? These days, you just don’t need them. 
5 stars, Klaus Stephan

Super travel guides, once again the tips were awesome for my summer vacation. No regrets buying the full version with all the travel guides. 
5 stars, thattravelguy

I like it! Why? I downloaded Copenhagen for next year. EVERYTHING worth knowing about the city is in there. Very good and clearly sorted.
5 stars, Micha H.

//////////////////

IN DETAIL
The Colombia travel guide is available in 1 LANGUAGE: English.

RECOMMENDATIONS FROM FODOR'S TRAVEL
On the hunt for the highlights of your destination? A huge selection of attractions, restaurants, hotels, museums, theaters and bars is right at your fingertips. So there's no obstacle to successful planning!

PREVIEW FOR YOUR TRAVEL GUIDE 
Get a preview for each of your travel guides, and test out all the functions (offline maps, trip planner, navigation, travel tips…) for yourself. 

FUNCTIONS 100% OFFLINE
Once you've downloaded your guide for offline use, you have unrestricted access, even without internet. The city map, trip planner and even content such as attractions, restaurants, pictures and other travel information are downloaded too. No more roaming!

TRAVEL PLANNER FOR ON THE ROAD 
Organize your personal (city) trip with our trip planner. Just enter the best restaurants, attractions, hotels, bars and other highlights into your tour, and make the best possible use of your time. New now: add a desired location that’s not marked by tripwolf directly onto the map.

NAVIGATION: WE’LL SHOW YOU THE WAY 
Never get lost again, and let the app show you the way to your next destination. Sightseeing just got fun! Standing at the airport and don't have a clue how to get to the hotel? Type in your hotel on the map and select navigation to see the path on the map.

ATTRACTIONS, HOTELS, RESTAURANTS, BARS, CLUBS & MORE 
Dig up the most exciting places in different cities, regions and countries: discover unique attractions and insider tips from the community. On top of all that, there's also the necessary information like opening times, contact details and prices.

BOOK YOUR TOUR DIRECTLY VIA TRIPWOLF 
Don't want to discover your surroundings alone, and would rather join a tour or find the best deals in town? No problem. With tripwolf, you can book your tour or purchase your tickets directly through the app with GetYourGuide.

Have feedback or questions? Our mailbox is always open! Send us an email anytime at support@tripwolf.com and we’ll get back to you.",0
13,979894305,"Ready for the most exciting running game on the planet?

Action Heroes is a fast-paced, action-packed endless running game that lets you knock through zombie enemies at breakneck speed! Pick from three unique heroes and let the endless running begin, compete with guillotines, spikes, glass walls and shambling zombies all trying to end your game. Use acrobatic jumping and sliding skills to avoid traps, then break out a kick or two when something smashable comes along. Don't forget your jump kick, an exclusive attack not available in other running games!

Along with the endless running, jumping and kicking, Action Heroes provides plenty of power-ups to help you stay in the game. Items like the shield provides a temporary invincibility boost, while magnets let you pick up more coins than ever before. Grab as many boosts as you can to upgrade your character between runs. You'll need all the help you can get to survive this epic zombie running showdown!

Features:
* Three heroes to choose from, each with unique talents.
* Jump, double jump, kick and slide to avoid obstacles.
* Amazing air kicks to tackle foes from above.
* Tons of power-ups to gather and activate.
* Exciting missions to complete to earn bonuses.
* Zombies to kill. Oh yeah!

Action Heroes keeps things fresh with fantastic graphics, exciting power-ups, and fun abilities that give you plenty of ways to tackle danger!

- ReplayKit support to record gameplay video and share to social networks and video sharing sites.",0
14,1124597796,"In 5 Digit mode select a Date and receive back the 5 Digit Julian Date, i.e. June 29th, 2017, would be 17180. (17) being the year 2017 and (180) being the 180th day in 2017.  Purchase the Full Julian Date mode and June 29th, 2017 12:17:54 PM would be 2457934.01243.  You also are able to get the Calendar Date from the Julian Date.",0
15,1201143845,"We are dedicated to developing a powerful chemical procurement tool that provides one-stop procurement service for customers in chemical industry.  Next time you look for chemical products, try a search at HighchemEx. Enjoy following features that will make your procurement easy and efficient!
1.Search your products in our database; submit inquiries with the tap of a button. Can’t find what you are looking for?  Submit a special inquiry, we will get the quote for you.
2.Quotes and orders are available for both sample and commercial quantity.
3.We offer quotations from qualified suppliers in 48 hours.
4.You can choose to complete order 100% online or to use email communications. We are open to both options.
5.Track shipment status and download Shipping Document anytime, anywhere.
6.Live chat with us, submit consult message or reach us by email for your questions, concerns and inquiries. We are always here to help!",0
16,1278214184,"3D blocks exploding everywhere while colors and sounds delight you in every way.

This infinite runner is sure to grab your attention for at least 30 seconds.",0
17,1188036650,"This app connects ACPA members, concrete pipe school students, employees and associates, and event attendees with quick access to event details and information. Events include the concrete pipe school, concrete pipe show, conventions, meetings, summits and other key events.  Details and information include dates, locations, times, schedules, maps, directions, course descriptions, course instructors, course evaluations, show exhibitors and more!!",0
18,1130364972,"MySoberRoommate is the only app that lets you search, match, and message with sober roommates, and it’s 100% FREE.
 
When you’re in recovery, living with a likeminded roommate is one of the most important things you can do to maintain your sobriety. Use MySoberRoommate to connect with thousands of potential roommates quickly, easily, and anonymously.

Why use MySoberRoommate? 

• It promotes clean living. Living with others committed to a clean lifestyle is one of the best ways to stay on a healthy path.

• It's free. Search, match, and message with potential roommates for as long as you want, as often as you want, for free.

• It's easy. Just answer a few questions to start searching our database of potential likeminded roommates. 

• It's efficient. No slogging through irrelevant listings--our search engine does the work for you by filtering out unwanted members and showing you matches tailored just for you. 

• It's anonymous. You decide what pictures to post and what personal information to share with other members, and when. We will never post your name, address, email address, or phone number, and we won't share your information with outside parties. 
 
Recovery can be hard. Finding a likeminded roommate shouldn’t be.",0
19,614465581,"Simple numeracy and music games based on the online toddlers site The Fungooms! Learn to count to Ten by catching all the numbers in the bath game, or race your toy car around a maze to collect letters.

Blow bubbles, see what shapes you can make out of clouds, play funny music on the Trumpet, and help Bodmin get to sleep at bed time. Find all the hidden stars for a special surprise!

Silly, simple fun for toddlers, babies and preschool children!",0
20,962592815,Intruder Alert! Battle hostile robots in a subterranean maze. Collect power cores to level up your shield or use them as makeshift grenades. Supports MFI controllers.  Compete on Game Center leaderboards.,0
21,937951287,"Juanito Arcade Mayhem is a new arcade adventure full of fun and crazy challenges, frenzy action and retro love.
Enjoy the story of Juanito and his unexpected friend Gluk trying to protect the old retro video games from those slimy and dangerous Clonocells.
Unlock new weapons to pop your enemies, dash to avoid being hit, collect stars and feel awesome.

// Game features

+ 8 unique worlds with ingenious game modifiers.
+ More than 80 different levels to overcome.
+ 8 bosses and 1 incredible mega boss!
+ 10 powerfull weapons, powerups, upgrades and items to catch!
+ Survival Mode! Compete against the whole World!
+ More than 75 crazy achievements to unlock!!!
+ Beat the game in 3 different difficulties. Easy, Normal and Hardcore.
+ Show off your skills in Juanito's leaderboards.
+ Unique animated pyjamas to change your character
+ Gorgeous 2D animations, colorfull backgrounds and awesome characters.
+ 15 original music tracks inspired in all your favourite arcade classics.
+ Plenty of clonocells (whatever those are...)
+ Fireworks, bricks, monkeys, dragons, snowball characters, minimalists tennis...
+ A very talkative bipolar friend-ish alien.
+ Available in 6 languages: English, Spanish, French, Italiano, Portuguese and Simplified Chinese.

Let us know if you like the game!
Rate 5 so we can keep working on Juanito Arcade Mayhem! :D",0
22,1375731768,"The CCSSO 2018 National Conference on Student Assessment will be held on June 27th-29th, 2018 in San Diego, California.

Login to view Sessions and Papers saved as favorites. View schedules, locations, floor plans, and people. Attendees will now be able to facilitate their experience at the meeting using the mobile app.",0
23,1180172345,"The Big Bear Now app is your guide to all things Big Bear — events, shopping, deals on lodging and dining, and weather and road conditions, and more. It puts the No. 1 Southern California mountain resort town at your fingertips year-round.
Download the first Big Bear app to make your experience in the mountains all that it can be and more whether you are a first-time or regular visitor, or a resident of Big Bear. And when needed, we have a team to provide you with breaking news to keep you up to date.
Stay connected with:
• Weather and road conditions
• Events and recreation
• Nightlife
• Food and beverage venues
• Where to stay and where to play
• Fishing tips
• Hiking and biking trails
• Shopping deals and more
• Upload photos and videos
• Share news tips and information.
Big Bear Now is your ticket to year-round indulgence on the mountaintop. 
Thank you for downloading Big Bear Now. Our pledge to to is to provide the information you want and need for your best Big Bear experience — now and always.
",0
24,1095761977,"Karnata Photo Scanner to Text

Extract Texts from Image
      OCR (optical character recognition) feature recognizes texts in document images and extract them from images for later searching, editing or sharing.

PDF Converter Pro is absolutely for those who want to convert Photos, Pictures.
The features of PDF Converter
Easy and fast converting to PDF

Features:
* Really attractive, super easy to use interface
* Using ""Open In..."" approach, print files from many popular online storages: Dropbox, MobileMe
iDisk, Docs and other cloud storage applications.
* Save the following document formats to PDF:

------------------------ 
With Translate Photo app you can easily scan and translate: 
• any paper documents 
• recipes from cookbooks 
• notes and letters 
• menus in restaurants, bars, and cafes 
• articles from magazines and newspapers 
• book parts 
• instructions and manuals 
• texts on product labels 
• road signs as well as signs in airports and stations 
• and many more...",0
25,1373634619,"Your worst nightmare just became reality - you are buried alive! There is no room for panic, you need to act quickly in order to survive. A crazy psychopath has buried you alive and you need to rely on your puzzle solving skills to escape. The coffin is full of different riddles and puzzles you need to solve to find your way out. But hurry up as the oxygen is running out. If you believe you have what it takes to escape this horrific situation download this game now and try out! Game features: 

VR mode! 
Innovative puzzles! 
Stunning graphics! 
Scary atmosphere!",0
26,554172478,"Johnson & Wales University students: Get dining, gym and library hours, term grades, catalog, campus events, transportation info, emergency contacts and much more – anytime, anywhere.",0
27,919076931,"This is the best simple and fun 3D rally racing game for 2 - 10 years kids. 

Choose your ride and guide it in this colorful 3D track to the finish line! 

Control your car with just one finger and see how it flips, jumps and rolls on it's way. This game is a sequel to the old Fun Kid Racing 2D version. Other racing games gets boring for your kid because of hard levels or controls? This is what you were looking for!",0
28,1234698308,"**From the creators of Endless Alphabet and the other award-winning, teacher-approved Endless early learning apps.

MathTango is a groundbreaking app that makes learning addition and subtraction truly fun for kids aged 6-9 (Grades 1-3)! 

Kids will learn more and learn faster with a unique, classroom-tested combination of math puzzles (incorporating modern techniques that make math easier and more intuitive) and classic “world-building” activities found in games.

Kids will progress through dozens of math lessons as they earn monsters, complete missions, build out their own unique island, and discover even more fun and surprises along the way.  While they’re having great fun, you’ll know they’re learning!

Some additional details on the app:
- MathTango is a free-to-try app with two in-app purchase options to unlock Beginner or Beginner/Advanced levels in the app.
- Kids will play 200+ addition and subtraction puzzles covering 20+ math levels and reviews, followed by a free play mode with more math puzzles for lesson reinforcement and advanced play.
- Example math lessons include:  adding single digit numbers; adding doubles; adding near doubles; making 10 to add 9; adding 10’s; and various subtraction lessons too.
- Gameplay is structured around 24 missions that must be completed to earn 25 delightfully unique monsters, and 50+ mercantile items that create fun for the monsters on the island.
- Player hints and tips make each math lesson very clear to understand.
- MathTango is a completely original app conceived, developed, and tested by a passionate team of 5 parents at Originator.",0
29,371720261,"A second data base set of 150 Social Work Questions. National Social Work Exam Review for the ASWB test. Test prep ASWB LCSW exams. Case studies using BEST CHOICE, WHAT TO DO FIRST. Multiple choice data bank covers exam areas.",0
30,1130364998,"Best russian billiard simulator!
Play online with other players, create your own billiard club, try yourself in tournaments!
Stunning 3D graphics, most realistic pool physics with all possible tricks!
Earn rating points and become best billiard player ever!
Three russian pyramid types: free, dynamic and combined. Two snooker games: 6 and 15 balls. Try it now!",0
31,1402994766,"Whether you are a professional piano player or just making your first steps in learning how to play the instrument, this app is what you need.

Realistic full-size keyboard, various colors, notes signatures, dozens of simplified tutorials, several sounds and much more will help you enjoy your piano-in-the-pocket.

A pop or rock song? Your national anthem? A soundtrack or even some jazz song? You can practice anything in Piano 3D and surprise your friends with your performance!

And remember: everyone can play the piano.",0
32,541065297,"Your contacts and messages are the most important thing in your phone, right? MOBILedit is like having a Swiss Army knife in your phone.  It is the ultimate all-in-one phone management tool used by millions of users.

Backup your contacts, migrate between phones of any manufacturer and system or copy contacts between groups such as Exchange, iCloud, internal phone memory and other online services. New Message Archive allows you to import messages from different phones into one place, so you can read, search, filter or reply to them. This Pro functionality is available as an in-app purchase.

Important: iPhone does not allow applications to  access messages, so you cannot see them directly in this app. However by connecting your phone through USB cable to a PC and running MOBILedit for Windows you can access messages and much more - you will get the ultimate PC suite software for complete phone management. Download at www.mobiledit.com/mobiledit

Additional functions with a Wi-Fi connection:
* Send text messages from a PC through your phone. Send long texts by copy-pasting from documents or enter them comfortably using a PC keyboard 
* Copy Windows clipboard to your phone or from phone to Windows
* New Message Archive allows you to import messages from different phones into one place, so you can read, search, filter or reply to them. This Pro functionality is available as an in-app purchase.
* Edit, transfer, illustrate or print your contacts from the comfort of your computer
* Copy your phonebook from any phone of any manufacturer or system to your new iPhone
* Migrate wirelessly – download the app for all other phone systems
* Exports and imports to or from Outlook, XLS, CSV and more
* Smart phonebook optimizations, such as fixing duplicates, faulty contacts, unknown numbers, merging and internationalization

Additional functions with a cable connection:
* The universal PC software with thousands of phones supported
* Recover lost iPhone contacts – we extract them from your iTunes
* Copy pictures and videos between phone and PC
* Download, read, store and print text messages
* Backup all phone content to your PC or MOBILedit cloud storage
* Manage your Photos, Calendar, notes, file system
Note: You do not need to run this app with a cable connection. Just connect and run MOBILedit on your PC.

We spent years developing a set of products with the ability to manage thousands of models from all manufacturers. This extensive project and unique know-how is used by millions of mobile phone owners, large corporations and phone stores.  It is also the gold standard in the world of digital forensics investigation for the FBI, MI5, U.S.A. military, police departments and many others organizations.",0
33,918028370,"Do you want to design your own wedding dress? 
Then here's your chance with our latest fashion studio game.
You can design and sew your very own dream wedding dress. 
garments and pick a nice color and pattern for each item.
 Next take your fabrics, cut them and sew them up with the sewing machine. 
Then show your beautiful creation on the runway!",0
34,1184890965,"Life Is Our Playground Playbook

Your Journal + Planner + Notes + BFF in one! 

Life is awesome when you got all areas covered – family, work, play, me-time and matters of the soul. It’s possible to successfully balance them out by having LIOP by your side.

LIOP Playbook’s templates will help you make 2017 truly inspiring and fulfilling!

Calendar: It’s a date! Remember all those events and engagements easily because it’s synced with your calendar. 

Weekly Gameplan: It’s all about balance! Plan your week ahead by writing what you will do to achieve it.

Daily Planner: Time check! Have you done something today to make you feel great? Everything in this page will ensure that you have an awesome day!

Desired Life: Life goals unlocked! Start visualizing the kind of life you want. Think big, start small. Write, take action, achieve, repeat!

Five Big Goals: You can do it! Don’t be overwhelmed. Make a theme to help you focus. Be able to do things for yourself and your loved ones.

Vision: Hurray December 2017! Set a clear picture of how you want your year to end so you stay inspired and energized.

Inspiration: Words are powerful! Everyday or anytime you need it, your BFF will fill you with words of encouragement to lighten up your day.

Notes: Be creative! Write or draw everything even your random thoughts. This is your tool for greatness! 

Imagine it, write it down, plan it out, make them happen! 

Just like your BFF, LIOP reminds you whenever and wherever you need it. LIOP is your best companion in keeping everything in balance. It hears out your dreams and aspirations and provides you with boundless inspiration.

Enjoy life everyday because truly Life Is Our Playground!",0
35,740819031,"DJ Techno Pixel's Rave Robot - Dance, Scrath and Shoot To Dub-Step Mix?! Wait, What The... What Is This?! 

This is the absolutely SICKEST party game on the App Store. The Shakedown! This is Pixelated People dancing on Flying Carpets, it's funked out Stormtrooper type-of-dudes raving out on flying bananas, it's strange worm people dancing while shooting slightly stranger bad guys, and much, much more! 

Here's What You Should Do Now:

1. Check The Screenshots Again.
2. Download This Awesome Game.
3. Get Ready To Get Ya Freak On!


....
Oh, and we offer Real-Time Multiplayer too...!",0
